,amount
Samsung Galaxy A11 32GB|2GB – Dual SIM,15000
Samsung Galaxy A21s 64GB|4GB – Dual SIM,22299
Samsung Galaxy A3 Core 16GB|1GB – Dual SIM,10000
Samsung Galaxy A31 128GB|4GB – Dual SIM,28000
Samsung Galaxy A51 128GB|4GB – Dual SIM,32999
Samsung Galaxy A71 128GB|6GB – Dual SIM,45299
Samsung Galaxy Buds Live,13999
Samsung Galaxy M11 32GB|3GB – Dual SIM,18000
Samsung Galaxy Note 20 Ultra 256GB|8GB – Dual SIM,117999
Samsung Galaxy S20 FE 128GB|6GB – Dual SIM,64999
Samsung Galaxy Tab A 8.0″ 2019 32GB|2GB,18000
Samsung Galaxy Tab S6 Lite 64GB|4GB,50000
TCL 40″ | 40S68A Frame-Less FHD | Smart Android | LED TV,29000
JBL Partybox 300,68000
BlackBerry Evolve 64GB|4GB – Dual SIM,39000
PlayStation 4 Pro 1TB Console,60000
JBL Clip 3,8000
Realme C11 32GB|2GB – Dual SIM,12000
JBL Bar 5.1 Surround,75000
Realme C15 – Dual SIM,15999
Samsung Galaxy Z Fold 2 5G – 256GB|12GB,235000
Xiaomi Redmi 9c 32GB|2GB,17000
Nokia 2.4 Dual SIM,12499
Huawei Y5p 32GB|2GB,11000
JBL Tune 110BT,5000
JBL Tune 600BTNC,10000
Realme 6 128GB|8GB – Dual SIM,35000
VIVO Y11 32GB|3GB – Dual SIM,13999
Bose QuietComfort 35 wireless headphones II,38000
OnePlus Nord 5G 256GB|12GB,70000
JBL Charge 4,13499
Apple Watch SE – GPS,36999
Bose Soundsport Wireless Headphone,14999
Nokia 5310 Dual SIM,8000
Lenovo Tab E7 – 7.0″ – 16GB|1GB,14000
iPhone 7 32GB,36999
